example input data to run RothC for a number of years,,,,,,,,,
"clay and depth are only needed once, other data are monthly jan-dec ",,,,,,,,,
 (%),(cm),(t C/ha),(-),,,,,,
clay,depth,iom,nsteps,,,,,,
18,30,2.524,0,,,,,,
(-),(-),(%),(C) ,(mm),(mm),(t C/ha),(t C/ha),(-),(-)
year,month,modern,Tmp,Rain,Evap,C_inp,FYM,PC,DPM_RPM
2061,5,100,29.3,130.1,220,0,0,1,1.44
2061,6,100,27.6,141.8,192,0,0,1,1.44
2061,7,100,26.6,139.7,176,0,0,1,1.44
2061,8,100,26,241,164,0,0,1,1.44
2061,9,100,26.4,198.1,162.67,0,0,1,1.44
2061,10,100,28,82.9,190.67,3.074755695,0,1,1.44
2061,11,100,28.8,5.2,192,0,0,0,1.44
2061,12,100,27.8,0.3,192,0,0,0,1.44
2062,1,100,27.7,5,193.33,0,0,0,1.44
2062,2,100,30.3,10.9,200,0,0,0,1.44
2062,3,100,31.8,20.9,230.67,0,0,0,1.44
2062,4,100,30.9,86.4,225.33,0,0,0,1.44
2062,5,100,29.3,130.1,220,0,0,1,1.44
2062,6,100,27.6,141.8,192,0,0,1,1.44
2062,7,100,26.6,139.7,176,0,0,1,1.44
2062,8,100,26,241,164,0,0,1,1.44
2062,9,100,26.4,198.1,162.67,0,0,1,1.44
